Client,Risk Tolerance,Financial Goals,Time Period,Investment Horizon,Preferred Services,Investment Experience,ROI,Risk Aversion,Customer Service,Security,Flexibility
Client 19,Medium,Stocks,39,Short,"MLOps, Mutual Fund, Retirement, Stocks, Insurance, DNAV, Recon, Ariel",High,High,Medium,Good,High,Low
Client 20,High,Stocks,25,Long,"Insurance, Mutual Fund, Stocks, DNAV, MLOps, Recon, Ariel",High,High,Medium,Excellent,Low,Medium
Client 21,Medium,Insurance,6,Short,"Ariel, Insurance, Retirement",Low,High,Low,Poor,Medium,Medium
Client 22,High,Insurance,27,Medium,"MLOps, Ariel",Low,Medium,Medium,Excellent,Low,Medium
Client 23,Low,Stocks,36,Medium,"DNAV, Stocks, Ariel, Mutual Fund",Medium,Low,Low,Good,Medium,Medium
Client 24,Low,Insurance,31,Short,"Insurance, Stocks, Recon",Low,Low,Low,Excellent,Low,Medium
Client 25,High,Investment,5,Long,"Recon, Retirement",High,Medium,Medium,Excellent,High,Low
Client 26,Low,Investment,77,Medium,"Stocks, Retirement, Mutual Fund, MLOps, Ariel, Recon",Low,Low,Low,Poor,High,Low
Client 27,Low,Stocks,29,Medium,"DNAV, Recon, Stocks, MLOps",Medium,Low,Low,Poor,Low,Medium
Client 28,Medium,Investment,48,Medium,"Mutual Fund, Ariel, Retirement, MLOps, Recon",Low,Low,Low,Excellent,Medium,Medium
Client 29,Medium,Stocks,28,Long,"Ariel, Mutual Fund, Recon, Stocks, MLOps, DNAV, Retirement",High,Medium,Low,Good,Medium,Low
Client 30,Medium,Investment,63,Long,"Mutual Fund, Retirement, DNAV, Stocks, Ariel, Recon, Insurance, MLOps",Medium,High,Low,Poor,Low,Low
Client 31,Low,Stocks,24,Long,"DNAV, MLOps, Recon",Low,High,Low,Excellent,Medium,Low
Client 32,Medium,Insurance,11,Medium,"Insurance, Mutual Fund, Retirement",High,High,High,Excellent,High,Medium
Client 33,Low,Stocks,71,Medium,"Ariel, DNAV, Stocks, Recon, Retirement, Mutual Fund",Low,Medium,High,Poor,High,High
Client 34,Medium,Insurance,62,Short,"Insurance, Ariel, Stocks",Low,Medium,Low,Good,High,Medium
Client 35,Low,Investment,11,Medium,"DNAV, Recon, Mutual Fund, Retirement, MLOps",Medium,Low,Low,Poor,High,Low
Client 36,High,Stocks,20,Long,Ariel,Low,Low,High,Good,Medium,Low
Client 37,Low,Insurance,69,Short,"DNAV, Stocks, Mutual Fund",High,Low,High,Good,Low,High
Client 38,High,Investment,72,Medium,"Ariel, DNAV, MLOps, Recon, Mutual Fund, Retirement, Stocks",High,High,Low,Good,Medium,High
Client 39,Medium,Investment,49,Long,"DNAV, Insurance, Stocks, Recon, Mutual Fund, Ariel",High,Medium,High,Excellent,Low,High
Client 40,High,Stocks,9,Long,"Retirement, MLOps, Stocks, DNAV, Ariel",Low,High,Low,Good,Medium,Medium
Client 41,Medium,Insurance,54,Short,DNAV,Low,Medium,High,Poor,High,Medium
Client 42,Medium,Investment,53,Short,"MLOps, Mutual Fund, Ariel, DNAV, Stocks, Insurance, Retirement",High,Medium,Medium,Good,High,Low
Client 43,Medium,Insurance,48,Medium,"Insurance, Ariel, Stocks, MLOps, Retirement, Mutual Fund",Medium,High,Low,Excellent,High,Low
Client 44,Medium,Stocks,5,Short,"Recon, Stocks",High,High,High,Good,High,Low
Client 45,Low,Insurance,65,Medium,"Insurance, Recon, Stocks, Ariel, DNAV, MLOps, Retirement",Medium,Low,High,Excellent,High,Medium
Client 46,Low,Investment,6,Long,"Mutual Fund, Stocks, Retirement, Insurance, Recon, MLOps, Ariel",Low,Low,Medium,Poor,High,High
Client 47,Medium,Stocks,34,Short,"Stocks, Mutual Fund, Recon, Insurance, Retirement, Ariel",Low,Medium,Medium,Excellent,High,Medium
Client 48,Medium,Insurance,38,Medium,"Recon, DNAV, Stocks, Mutual Fund, MLOps, Ariel, Retirement, Insurance",Low,High,Medium,Excellent,High,High
Client 49,Medium,Insurance,46,Medium,"MLOps, Retirement, Ariel, Mutual Fund, Insurance, Recon, DNAV, Stocks",Medium,High,High,Poor,High,Low
Client 50,Low,Insurance,42,Long,"Mutual Fund, Insurance, Stocks, MLOps, Ariel, Recon, Retirement, DNAV",Medium,Medium,High,Good,Medium,Low
Client 51,Medium,Stocks,19,Long,Retirement,High,High,Medium,Poor,Medium,Low
Client 52,High,Insurance,76,Medium,Retirement,Low,Medium,Medium,Excellent,High,Low
Client 53,Medium,Investment,12,Short,"DNAV, Ariel, Mutual Fund, Retirement, Stocks, MLOps, Insurance",Low,High,High,Good,Medium,Low
Client 54,Medium,Investment,3,Long,"Mutual Fund, Ariel, Insurance, Retirement, Recon",Medium,Medium,Medium,Poor,Low,Medium
Client 55,Medium,Investment,58,Short,Stocks,Low,Low,Medium,Good,Low,Medium
Client 56,Low,Investment,32,Medium,MLOps,High,Medium,High,Good,High,High
Client 57,Low,Insurance,43,Medium,Mutual Fund,High,Medium,Medium,Excellent,High,Medium
Client 58,High,Stocks,6,Medium,"Recon, Insurance, Ariel, Stocks, DNAV",High,High,Low,Excellent,Low,Low
Client 59,High,Insurance,8,Medium,"Retirement, Stocks, Insurance, Ariel, Mutual Fund",Medium,Low,High,Good,Medium,Low
Client 60,Low,Insurance,48,Short,"Mutual Fund, DNAV, MLOps, Stocks, Recon, Retirement",Low,Low,Low,Excellent,High,High
Client 61,Low,Stocks,27,Short,"Recon, DNAV, Stocks, MLOps",Medium,Low,High,Poor,High,Medium
Client 62,Low,Insurance,68,Medium,"Retirement, Insurance, DNAV",High,Low,Low,Excellent,High,Low
Client 63,High,Stocks,41,Long,"Insurance, DNAV",Medium,High,Low,Good,High,Low
Client 64,Medium,Investment,29,Short,"Ariel, Stocks, Retirement, Mutual Fund, MLOps",Low,High,High,Good,Medium,Low
Client 65,Low,Stocks,15,Long,"Ariel, Mutual Fund, Stocks, Recon, MLOps, DNAV, Insurance",High,High,High,Excellent,Low,Low
Client 66,High,Stocks,9,Medium,Insurance,Low,High,Medium,Excellent,Low,High
Client 67,High,Stocks,77,Short,"Retirement, Recon, Insurance, Mutual Fund, Ariel, MLOps, DNAV, Stocks",Low,High,High,Poor,Medium,Low
Client 68,Low,Investment,11,Short,DNAV,Medium,Medium,Low,Poor,Medium,High
Client 69,Medium,Stocks,59,Medium,"DNAV, MLOps",High,High,High,Poor,High,Medium
Client 70,High,Stocks,24,Medium,MLOps,Low,Low,Medium,Good,Low,Low
Client 71,Low,Investment,70,Medium,"Mutual Fund, Ariel, Stocks",High,High,Low,Excellent,High,High
Client 72,Medium,Insurance,68,Short,"Mutual Fund, Recon, MLOps, DNAV, Insurance, Stocks, Ariel",Medium,High,Low,Poor,High,Low
Client 73,Medium,Investment,15,Long,Insurance,High,High,Low,Poor,Medium,High
Client 74,Medium,Insurance,7,Medium,"Recon, Retirement, MLOps, Ariel, Mutual Fund",Low,Medium,Low,Good,High,Low
Client 75,High,Investment,78,Short,"Ariel, MLOps, Insurance, DNAV, Mutual Fund, Recon, Retirement, Stocks",Medium,Low,Medium,Poor,Low,Medium
Client 76,Medium,Stocks,74,Long,Recon,Medium,Medium,High,Good,Low,Medium
Client 77,High,Insurance,69,Long,Recon,Low,High,Medium,Excellent,Medium,High
Client 78,Medium,Stocks,32,Medium,Insurance,Low,Medium,Low,Good,Medium,High
Client 79,High,Investment,30,Short,"Ariel, Mutual Fund, Stocks, Recon",Medium,Low,High,Excellent,High,Medium
Client 80,Low,Stocks,31,Short,"Ariel, Retirement, Insurance, Mutual Fund, DNAV, MLOps, Recon, Stocks",Low,Low,Medium,Poor,Low,Medium
Client 81,Low,Investment,38,Short,"Ariel, DNAV, Mutual Fund, MLOps",High,High,Low,Poor,High,Medium
Client 82,Medium,Investment,32,Short,"DNAV, Mutual Fund, Retirement, Insurance",Low,Low,High,Excellent,Medium,Low
Client 83,High,Insurance,68,Short,"Ariel, DNAV, MLOps",Low,Medium,Low,Excellent,Low,Medium
Client 84,Low,Insurance,7,Long,"Stocks, MLOps, Insurance, Recon, Mutual Fund, Retirement, DNAV",Medium,Medium,Low,Poor,Medium,Low
Client 85,High,Stocks,72,Short,"Insurance, MLOps",High,High,Medium,Excellent,Medium,Low
Client 86,High,Stocks,12,Short,"Retirement, Mutual Fund",Medium,Low,Low,Good,Medium,Low
Client 87,High,Investment,7,Medium,Mutual Fund,Medium,Medium,Medium,Excellent,Low,Low
Client 88,Low,Insurance,71,Medium,"Stocks, MLOps",Low,High,Low,Poor,Medium,Medium
Client 89,High,Insurance,78,Medium,"DNAV, Recon, Ariel, Retirement, Insurance, Stocks, MLOps",Medium,Low,Medium,Excellent,Medium,Low
Client 90,High,Insurance,80,Medium,"Recon, Stocks, Mutual Fund",High,Medium,Medium,Poor,High,Medium
Client 91,Medium,Insurance,11,Short,"Recon, Retirement, Mutual Fund, Ariel",High,High,Low,Poor,Low,Low
Client 92,Medium,Insurance,44,Short,"Stocks, Insurance, MLOps, Recon, Ariel",Low,Low,Low,Excellent,High,Low
Client 93,Low,Insurance,48,Long,"Mutual Fund, MLOps, Recon, Retirement",Low,High,Medium,Good,Medium,Low
Client 94,Medium,Stocks,72,Short,"DNAV, Stocks, Retirement, MLOps, Mutual Fund",High,Low,Low,Excellent,High,Low
Client 95,Medium,Investment,77,Short,"MLOps, Stocks, Insurance, Retirement, DNAV, Recon",Low,Low,Low,Good,High,High
Client 96,High,Stocks,64,Medium,"Insurance, Mutual Fund, Ariel",High,High,Low,Poor,Medium,High
Client 97,Low,Insurance,23,Medium,"Retirement, DNAV, Recon, Mutual Fund, Stocks, Ariel",High,High,Low,Poor,Medium,Medium
Client 98,Low,Investment,57,Medium,"Ariel, DNAV, Retirement, Stocks, Recon, Insurance",High,Medium,High,Poor,Medium,Low
Client 99,High,Investment,47,Short,"Recon, Stocks, Ariel, DNAV, Retirement, MLOps, Insurance",High,Medium,Medium,Good,Medium,Medium
Client 100,Low,Investment,45,Long,"Insurance, DNAV, Retirement, Stocks, Ariel",Medium,Medium,Low,Good,Low,High
Client 101,Low,Stocks,34,Short,"Stocks, Mutual Fund, Recon, MLOps, DNAV, Retirement, Insurance, Ariel",High,Medium,High,Good,Medium,Medium
Client 102,Low,Stocks,78,Short,"MLOps, Recon, DNAV, Insurance, Mutual Fund, Retirement",High,High,Low,Poor,Medium,Medium
Client 103,Medium,Insurance,72,Short,"Retirement, Mutual Fund",Medium,High,High,Excellent,High,Low
Client 104,High,Insurance,42,Medium,"Stocks, DNAV, Mutual Fund",High,Low,Low,Excellent,Medium,High
Client 105,High,Insurance,20,Long,"MLOps, Mutual Fund, Ariel, Retirement, Recon, DNAV, Insurance, Stocks",Medium,High,High,Poor,Low,Low
Client 106,High,Insurance,3,Long,"Insurance, Recon",High,Medium,High,Excellent,High,Medium
Client 107,Low,Investment,41,Long,"Stocks, MLOps, DNAV, Retirement",High,Low,Medium,Poor,Medium,High
Client 108,High,Insurance,22,Short,"Insurance, Mutual Fund, MLOps",Low,High,Medium,Excellent,Medium,Low
Client 109,Medium,Insurance,63,Short,"Mutual Fund, Stocks",Low,Low,Medium,Excellent,Low,Low
Client 110,Low,Investment,8,Short,"Insurance, Mutual Fund, Ariel, Recon, Retirement",High,High,High,Excellent,Low,High
Client 111,Low,Investment,37,Medium,"DNAV, Mutual Fund",Low,Medium,Medium,Poor,Medium,Low
Client 112,Medium,Insurance,18,Medium,"Insurance, Stocks, MLOps, DNAV, Ariel, Mutual Fund, Recon",High,High,High,Poor,High,Medium
Client 113,High,Stocks,34,Short,"MLOps, Ariel, Insurance, Recon",High,Medium,Low,Good,High,Medium
Client 114,Low,Stocks,51,Long,"Insurance, MLOps, DNAV, Mutual Fund",Medium,Low,Medium,Excellent,Low,Medium
Client 115,Medium,Stocks,59,Short,Stocks,Low,Low,Medium,Poor,High,Medium
Client 116,Medium,Investment,65,Medium,"Stocks, Ariel",High,Medium,Medium,Excellent,Low,Medium
Client 117,Low,Insurance,60,Long,"Mutual Fund, Ariel, Insurance",Low,High,Medium,Poor,High,High
Client 118,Medium,Stocks,58,Short,"Stocks, Ariel, Insurance, Recon, DNAV, MLOps, Retirement, Mutual Fund",Low,High,Medium,Good,Medium,Low
Client 119,Medium,Investment,63,Long,"Recon, Ariel",High,Medium,High,Poor,Medium,Medium
Client 120,Low,Investment,28,Medium,"DNAV, Insurance, Mutual Fund, Retirement, Stocks, MLOps, Ariel, Recon",Low,High,High,Poor,Medium,Low
Client 121,Medium,Investment,71,Short,"Stocks, Insurance",Low,High,High,Good,High,Low
Client 122,Low,Insurance,27,Long,"Ariel, Insurance, Retirement, Mutual Fund",Medium,Medium,Low,Excellent,Medium,High
Client 123,Low,Stocks,77,Short,"DNAV, Retirement, MLOps, Insurance, Stocks, Mutual Fund, Recon",Low,Medium,Medium,Poor,Low,Low
Client 124,High,Stocks,7,Long,"Recon, Mutual Fund, DNAV, Insurance, Stocks, Ariel",Low,High,High,Poor,Low,Medium
Client 125,High,Stocks,38,Long,"Insurance, Ariel, MLOps, Stocks, Mutual Fund, Recon",Medium,Medium,Low,Excellent,Medium,Low
Client 126,Medium,Stocks,27,Short,"Mutual Fund, MLOps, Insurance, Ariel, Recon, Retirement, DNAV",Medium,High,Low,Excellent,Low,Low
Client 127,High,Stocks,33,Long,"Ariel, Retirement, Stocks",High,Medium,High,Poor,Medium,High
Client 128,Medium,Stocks,21,Medium,"Insurance, Ariel",Low,Medium,Low,Poor,Medium,High
Client 129,Medium,Investment,64,Long,"Mutual Fund, Ariel, MLOps, Stocks, Recon",High,Medium,High,Good,Medium,Medium
Client 130,Low,Investment,10,Medium,"MLOps, Retirement, Mutual Fund",Low,High,Low,Good,Low,Medium
Client 131,Low,Stocks,9,Medium,"Mutual Fund, DNAV, MLOps, Ariel, Recon",Medium,Low,High,Good,Low,High
Client 132,High,Insurance,12,Long,Mutual Fund,Medium,High,High,Excellent,Medium,Low
Client 133,High,Investment,46,Medium,"Ariel, Retirement, MLOps",Low,Medium,Low,Poor,High,Medium
Client 134,Low,Insurance,56,Medium,"Stocks, MLOps, Mutual Fund",Low,Low,Medium,Excellent,Medium,Medium
Client 135,Medium,Stocks,65,Medium,"Insurance, MLOps, Retirement, DNAV, Stocks, Recon",Medium,Medium,High,Poor,Low,Medium
Client 136,Medium,Investment,77,Long,"Stocks, Mutual Fund",Low,Medium,High,Poor,High,Low
Client 137,Low,Insurance,79,Long,Recon,Medium,High,Medium,Good,High,High
Client 138,High,Stocks,34,Long,"Mutual Fund, Insurance, Retirement, Recon, DNAV, MLOps",Medium,Low,Low,Excellent,Low,High
Client 139,Low,Investment,78,Medium,"Recon, Mutual Fund, DNAV",Medium,Low,High,Poor,Medium,Low
Client 140,High,Stocks,33,Long,"Ariel, Retirement, MLOps, DNAV, Recon, Insurance, Stocks",Medium,High,Low,Good,Low,Medium
Client 141,Low,Stocks,9,Long,"Recon, Stocks, Ariel",Medium,Medium,Low,Good,Low,Medium
Client 142,Medium,Stocks,49,Medium,"Mutual Fund, Retirement, Insurance, Ariel, MLOps, Recon, Stocks, DNAV",Low,Low,Medium,Good,Medium,High
Client 143,High,Insurance,36,Short,"DNAV, Insurance, Stocks, Recon, Mutual Fund, Retirement, Ariel, MLOps",High,Medium,Low,Excellent,High,Medium
Client 144,Medium,Stocks,34,Long,"Ariel, Insurance, Retirement",High,Low,High,Excellent,High,Low
Client 145,Low,Investment,3,Long,"MLOps, Mutual Fund, Ariel, Stocks, DNAV",Medium,Low,High,Good,Medium,High
Client 146,Medium,Investment,58,Long,"Mutual Fund, Insurance, Ariel, Recon, DNAV",Low,High,Low,Excellent,Medium,Medium
Client 147,Medium,Insurance,77,Long,"Insurance, Stocks, Ariel, MLOps, Mutual Fund, Recon",Low,High,High,Good,High,High
Client 148,Medium,Stocks,2,Short,"Recon, DNAV, Retirement, Ariel, Stocks, MLOps, Mutual Fund, Insurance",Low,High,High,Poor,Medium,High
Client 149,Medium,Stocks,66,Short,DNAV,Medium,High,Medium,Good,Medium,High
Client 150,High,Stocks,19,Medium,"Stocks, MLOps, Recon, Ariel",High,High,High,Excellent,Medium,Low
Client 151,Medium,Investment,65,Medium,"Stocks, Insurance, MLOps, Retirement, DNAV, Ariel",High,Medium,Low,Excellent,Medium,Low
Client 152,Medium,Investment,6,Long,"Recon, Stocks, Retirement, Ariel, DNAV, Insurance, MLOps",Medium,Low,High,Excellent,Medium,Medium
Client 153,High,Stocks,52,Short,"MLOps, Ariel, Stocks, Retirement",High,Low,Medium,Good,Medium,High
Client 154,High,Stocks,14,Short,"Ariel, DNAV, Mutual Fund",Medium,Medium,Medium,Good,Medium,High
Client 155,Low,Investment,11,Long,DNAV,Medium,High,Medium,Good,Medium,Low
Client 156,Medium,Investment,46,Medium,"DNAV, Insurance, MLOps, Recon, Retirement",High,High,Low,Poor,High,High
Client 157,Low,Insurance,15,Short,"MLOps, Insurance, Mutual Fund, DNAV, Recon, Stocks, Retirement",Low,Medium,Medium,Poor,High,High
Client 158,Low,Investment,66,Long,"DNAV, Stocks, Ariel",Low,Medium,Medium,Good,Low,High
Client 159,Low,Insurance,56,Medium,"Retirement, Stocks, Ariel, MLOps, Recon, DNAV, Mutual Fund",Medium,Medium,High,Poor,High,Medium
Client 160,High,Insurance,55,Short,"Retirement, MLOps, Ariel, Stocks, DNAV, Insurance, Mutual Fund, Recon",Low,Low,High,Good,Low,Low
Client 161,Low,Insurance,74,Short,"Recon, Ariel, Retirement",Medium,High,High,Good,Medium,High
Client 162,High,Investment,31,Medium,"Mutual Fund, Stocks, Ariel, DNAV, Insurance, MLOps, Retirement",High,Low,Medium,Poor,Medium,High
Client 163,Medium,Insurance,22,Long,"Mutual Fund, Retirement, Recon, Stocks, Ariel, MLOps",Medium,High,Low,Good,Low,Low
Client 164,High,Insurance,49,Long,"Mutual Fund, Stocks",Low,Low,Medium,Good,Medium,Medium
Client 165,Low,Investment,50,Long,"MLOps, DNAV, Stocks, Insurance, Ariel",Low,High,Medium,Excellent,High,Medium
Client 166,Medium,Investment,38,Short,"Retirement, Mutual Fund, Insurance, MLOps",Low,High,High,Poor,Low,Medium
Client 167,Medium,Insurance,28,Medium,"MLOps, Ariel, Stocks, DNAV, Insurance",High,Low,Medium,Poor,Medium,Low
Client 168,High,Stocks,33,Medium,"Stocks, Ariel, Recon, DNAV, Mutual Fund, Retirement",Low,Low,Medium,Poor,High,High
Client 169,Medium,Insurance,27,Medium,"Recon, MLOps, DNAV, Ariel, Mutual Fund, Stocks, Insurance",High,High,Low,Excellent,High,High
Client 170,Low,Investment,54,Medium,"Insurance, DNAV, Retirement",Medium,High,High,Poor,High,Medium
Client 171,High,Investment,62,Long,DNAV,High,Low,High,Good,Low,Low
Client 172,High,Stocks,29,Medium,"Ariel, DNAV, Retirement",Low,Medium,High,Good,Low,Medium
Client 173,Medium,Insurance,32,Long,"Ariel, Mutual Fund, DNAV",High,Low,High,Excellent,Medium,High
Client 174,Low,Stocks,42,Medium,"MLOps, Insurance, Retirement, Stocks, Recon, Ariel",High,Low,Medium,Excellent,Low,Low
Client 175,Medium,Stocks,29,Medium,"Insurance, MLOps, Ariel",Low,Medium,Medium,Excellent,Medium,High
Client 176,High,Investment,44,Short,"Insurance, DNAV, Mutual Fund, Recon, Retirement, Ariel, Stocks, MLOps",High,Medium,High,Good,High,High
Client 177,Medium,Investment,40,Medium,"Insurance, Ariel, Stocks, Recon",Medium,Low,Low,Poor,High,Medium
Client 178,Low,Investment,19,Short,"Ariel, Mutual Fund",Medium,Low,High,Excellent,High,Medium
Client 179,High,Investment,41,Long,"Ariel, DNAV, Mutual Fund, Recon, Retirement, Stocks",Low,Medium,High,Poor,Medium,High
Client 180,Medium,Insurance,21,Medium,Recon,Low,Medium,Medium,Poor,Medium,Medium
Client 181,Medium,Stocks,32,Medium,"Insurance, Stocks",Low,Medium,High,Excellent,High,Medium
Client 182,Medium,Insurance,55,Medium,"Ariel, Recon",Medium,High,Medium,Poor,Medium,High
Client 183,High,Stocks,7,Long,"Retirement, MLOps, Ariel, Mutual Fund, DNAV",Low,Medium,Low,Good,High,Medium
Client 184,High,Investment,18,Short,"Stocks, DNAV, Retirement, Recon, Ariel, Mutual Fund, MLOps, Insurance",High,High,Medium,Excellent,Low,High
Client 185,High,Insurance,63,Short,"Mutual Fund, Ariel, Retirement, Stocks, Insurance, Recon, MLOps",High,Medium,Low,Poor,Low,Low
Client 186,Low,Insurance,3,Medium,"Recon, Mutual Fund, MLOps, DNAV, Retirement, Ariel, Insurance",Medium,Low,Low,Poor,Low,Low
Client 187,Medium,Stocks,20,Long,"MLOps, Insurance, Mutual Fund, Retirement, DNAV",Low,Low,High,Good,Medium,High
Client 188,Medium,Investment,53,Short,"Mutual Fund, Retirement",Low,High,Low,Good,Medium,Medium
Client 189,Medium,Insurance,40,Medium,"Insurance, Stocks, MLOps, Recon, Retirement",Medium,High,High,Poor,Medium,Low
Client 190,High,Investment,15,Medium,"DNAV, Mutual Fund, Stocks, Ariel, Insurance, MLOps, Recon, Retirement",High,High,High,Poor,Low,Medium
Client 191,Low,Insurance,9,Medium,"Retirement, DNAV, Stocks, Ariel, Insurance, Recon, Mutual Fund, MLOps",Medium,High,Medium,Poor,Medium,Low
Client 192,High,Insurance,70,Long,"Ariel, Insurance, Stocks, MLOps, Mutual Fund, Recon, Retirement",Medium,Low,High,Excellent,High,Low
Client 193,Medium,Investment,8,Long,"Recon, Retirement, DNAV, MLOps",Low,Low,Medium,Poor,High,Medium
Client 194,High,Investment,38,Medium,"Mutual Fund, Retirement, Insurance, Ariel, Stocks",Medium,High,Medium,Excellent,High,Low
Client 195,Low,Stocks,73,Medium,"MLOps, Retirement, Ariel, Mutual Fund, Recon, DNAV, Insurance",Low,Low,High,Excellent,Low,Medium
Client 196,Medium,Insurance,23,Long,"Recon, Insurance",High,High,High,Poor,Low,Low
Client 197,Medium,Insurance,49,Short,Stocks,High,High,Medium,Poor,Medium,Medium
Client 198,Low,Stocks,14,Medium,"Ariel, Retirement, Insurance, Recon, MLOps, Stocks, Mutual Fund, DNAV",Low,High,Low,Good,High,Medium
Client 199,Medium,Stocks,16,Short,"Ariel, Retirement, MLOps, DNAV",Medium,Low,High,Excellent,Low,High
Client 200,High,Insurance,2,Short,"Insurance, Mutual Fund, DNAV, Retirement",High,Medium,High,Poor,High,High
Client 201,High,Insurance,25,Medium,"Retirement, DNAV, Insurance, MLOps, Recon, Stocks, Ariel, Mutual Fund",Low,Low,Medium,Excellent,High,Medium
Client 202,Medium,Insurance,44,Medium,"Retirement, Mutual Fund, Ariel, Insurance, MLOps, Stocks, Recon",Medium,High,High,Poor,High,Low
Client 203,Medium,Insurance,3,Long,"Ariel, Mutual Fund, Insurance, DNAV, MLOps, Retirement, Recon, Stocks",High,Medium,Low,Good,Medium,High
Client 204,Medium,Insurance,80,Short,"Retirement, Mutual Fund, Insurance, DNAV",Medium,Low,Low,Excellent,Low,Medium
Client 205,Medium,Stocks,46,Short,"MLOps, Mutual Fund, Ariel, DNAV, Stocks",Low,Medium,Low,Poor,Low,Low
Client 206,Medium,Investment,3,Medium,"DNAV, Stocks, Insurance, Retirement, Mutual Fund, Recon",Medium,High,Low,Excellent,Medium,Medium
Client 207,High,Stocks,61,Medium,"Ariel, MLOps, Mutual Fund, Insurance, Retirement, DNAV, Stocks",High,Medium,High,Excellent,Medium,Medium
Client 208,High,Insurance,57,Medium,"DNAV, Mutual Fund, Insurance, Recon, MLOps, Retirement",Medium,Medium,Medium,Poor,Low,Low
Client 209,High,Stocks,33,Medium,Mutual Fund,Low,Medium,Low,Poor,Medium,Medium
Client 210,High,Investment,42,Long,"Insurance, MLOps",Low,Medium,Medium,Good,Low,High
Client 211,Low,Investment,16,Short,"Retirement, Recon, MLOps",Medium,Low,Low,Poor,Low,Low
Client 212,Medium,Insurance,47,Short,Mutual Fund,Low,Medium,High,Good,Low,Low
Client 213,Medium,Insurance,32,Long,"Insurance, Retirement, Mutual Fund, Stocks, DNAV, Recon, Ariel",High,High,High,Poor,Low,Low
Client 214,High,Investment,18,Medium,"Mutual Fund, MLOps, DNAV, Stocks, Retirement",Medium,High,Low,Poor,High,Low
Client 215,High,Stocks,8,Long,"DNAV, MLOps, Recon, Mutual Fund",Low,Low,High,Poor,Medium,High
Client 216,Medium,Stocks,11,Short,Recon,Low,High,Low,Excellent,High,Low
Client 217,High,Insurance,8,Long,"Retirement, MLOps, DNAV, Insurance, Stocks, Mutual Fund, Recon, Ariel",High,High,Medium,Excellent,Low,High
Client 218,Low,Stocks,77,Medium,"Insurance, Stocks, MLOps, DNAV, Retirement, Recon",Medium,High,Medium,Good,High,High
Client 219,Medium,Stocks,10,Short,"DNAV, Mutual Fund, Retirement, Ariel, Recon, Insurance, MLOps, Stocks",High,Low,Medium,Poor,Low,Medium
Client 220,High,Investment,67,Long,"Retirement, Mutual Fund, Recon, Ariel, Insurance",Low,Medium,Medium,Good,Low,Low
Client 221,Low,Stocks,17,Long,"Ariel, DNAV, Stocks, Insurance, Retirement",Medium,High,Low,Good,High,Medium
Client 222,Low,Investment,22,Long,"Retirement, DNAV, Stocks",High,High,High,Good,High,Low
Client 223,High,Insurance,9,Short,"MLOps, Recon, Stocks, Ariel, Insurance, Retirement, Mutual Fund",Low,Medium,Low,Excellent,Medium,Medium
Client 224,Medium,Insurance,18,Medium,Recon,Low,Low,High,Poor,Low,Medium
Client 225,Low,Insurance,20,Short,"Ariel, Stocks, Retirement, Insurance, DNAV",Low,Low,Low,Excellent,High,High
